十六位工程师为什么不走了,1983-01-19,1983-01,科技
为轻纺工业充实科技干部六千多名,1983-01-19,1983-01,科技
“银行为我们办了一件好事”,1983-01-22,1983-01,科技
这里的领导不喝“白酒”,1983-02-02,1983-02,科技
农村科技工作要打开思路打开眼界,1983-02-22,1983-02,科技
张运连私拆邮件  贪污汇款被判刑,1983-02-23,1983-02,科技
上海出现一批不穿绿衣的送报人（经济短波）,1983-03-11,1983-03,科技
“龙骨水车”的联想（杂谈）,1983-04-03,1983-04,科技
呼吁重视农村妇女文化教育,1983-04-09,1983-04,科技
无锡巨冰可能是“天外来客”,1983-04-19,1983-04,科技
齐怀远在新闻发布会上答记者问,1983-04-20,1983-04,科技
“软法律”和“硬法律”,1983-04-28,1983-04,科技
科研要紧紧围绕经济发展中心任务,1983-06-14,1983-06,科技
海丰县“地头蛇”叶妈坎被逮捕,1983-07-27,1983-07,科技
传被国民党“徵召”竞选,1983-09-25,1983-09,科技
北京国际科技政策与管理讨论会开幕,1983-10-05,1983-10,科技
讲管理学，不讲“关系学”,1983-11-08,1983-11,科技
上海机电行业提出要有“超前”精神,1983-12-27,1983-12,科技
