每个农工生产粮豆十三万斤,1980-01-15,1980-01,财经
华西大队人均分配四百多元,1980-01-23,1980-01,财经
黄河下游五十八县改变低产面貌,1980-02-26,1980-02,财经
学会打大算盘,1980-02-27,1980-02,财经
忻县去年农机节油八百多吨,1980-03-04,1980-03,财经
福州市粮食复制品种类多,1980-03-18,1980-03,财经
让杂交水稻发挥高产优势,1980-03-25,1980-03,财经
外贸部改进出口商品交易会工作,1980-04-13,1980-04,财经
大庆原油产量连续四年稳定在五千万吨,1980-05-01,1980-05,财经
钢厂要重视用户的要求（编后）,1980-05-03,1980-05,财经
试验田春小麦亩产一千九百斤,1980-05-25,1980-05,财经
及早抓好秋粮生产夺取全年丰收,1980-05-27,1980-05,财经
全国商品流通理论讨论会,1980-06-27,1980-06,财经
福建培育出两个甘蔗良种,1980-07-05,1980-07,财经
１７省市自筹基建资金突破国家指标,1980-07-10,1980-07,财经
共同努力解决钢材库存积压问题,1980-07-18,1980-07,财经
为发挥优势创造条件,1980-07-20,1980-07,财经
河南发挥优势建设小麦生产基地,1980-07-21,1980-07,财经
天津集中力量生产１３０型汽车,1980-07-21,1980-07,财经
启东县蚕豆大面积丰收,1980-07-23,1980-07,财经
收这种钱得不偿失,1980-07-24,1980-07,财经
依法逮捕虐待老母致死的宋金法,1980-08-13,1980-08,财经
在五届政协三次会议上的开幕词（１９８０年８月２８日）,1980-08-29,1980-08,财经
新疆伊犁地区农牧市场交易兴隆,1980-09-10,1980-09,财经
我国商品牛生产基地建设初见成效,1980-09-29,1980-09,财经
我国人工养殖对虾取得可喜进展,1980-10-17,1980-10,财经
将一贪污黄金案改判为盗窃黄金案,1980-11-13,1980-11,财经
趋利避害开财路  集体个人一起富,1980-11-15,1980-11,财经
西方国家粗钢产量下降,1980-11-27,1980-11,财经
调整产品结构  适合市场需要,1980-12-02,1980-12,财经
盐场之晨〔油画〕,1980-12-05,1980-12,财经
长春开展群众性物价监督活动,1980-12-17,1980-12,财经
全国棉花收购任务超额完成,1980-12-18,1980-12,财经
“白手起家”的妙法,1980-12-19,1980-12,财经
石油带来巨变,1980-12-22,1980-12,财经
