在伟大领袖毛主席无产阶级革命路线指引下    我国国民经济形势一片大好,1971-10-01,1971-10
热烈庆祝中华人民共和国成立二十二周年    外交部举行盛大招待会招待各国贵宾、各国专家和各国驻华使节    中联部举行盛大招待会招待各国马列主义兄弟党兄弟组织的同志,1971-10-01,1971-10
报眼口号,1971-10-01,1971-10
周恩来总理电贺尼日利亚联邦共和国国庆,1971-10-01,1971-10
周恩来总理电贺喀麦隆联邦共和国成立十周年,1971-10-01,1971-10
我国粮食战线的伟大胜利    ——初步扭转了南粮北调，粮食形势越来越好,1971-10-01,1971-10
阿党政领导同志致电我党政领导同志    最热烈祝贺我国国庆,1971-10-01,1971-10
朝鲜党政领导同志致电我党政领导同志    最热烈祝贺我国国庆,1971-10-01,1971-10
越南党政领导同志致电我党政领导同志    最热烈祝贺我国国庆,1971-10-01,1971-10
阮友寿主席黄晋发主席致电我党政领导人    最热烈祝贺我国国庆,1971-10-01,1971-10
西哈努克亲王宾努亲王致函我党政领导人    最热烈祝贺我国国庆,1971-10-01,1971-10
苏发努冯亲王致电我党政领导人    最热烈祝贺我国国庆,1971-10-01,1971-10
罗党政领导同志致电我党政领导同志    最热烈祝贺我国国庆,1971-10-01,1971-10
国庆期间首都将演出一批新剧目,1971-10-01,1971-10
阿费尔泽水电站设计鉴定工作组回京,1971-10-01,1971-10
莫三鼻给解放阵线代表团到京,1971-10-01,1971-10
香港澳门各界同胞参加国庆代表团到京,1971-10-01,1971-10
热烈庆祝中华人民共和国成立二十二周年    地拉那隆重举行集会    阿党政领导人出席  凯莱齐同志主持集会    多德比巴同志和刘振华大使讲话,1971-10-01,1971-10
热烈庆祝中华人民共和国成立二十二周年    河内隆重举行集会    越南党政领导人出席  黄国越同志致开幕词    阮文煊同志和王幼平大使讲话,1971-10-01,1971-10
强烈谴责美帝在联大强行炮制关于“朝鲜问题”的非法“决议”    朝鲜外务省发表严正声明    必须从南朝鲜撤出美侵略军，并解散“联合国韩国统一复兴委员会”,1971-10-01,1971-10
阿代表团团长在国际原子能机构管理委员会大会上发言    中国的合法权利不容剥夺    必须立即把蒋介石集团的“代表”驱逐出大会,1971-10-01,1971-10
郭沫若副委员长会见法国朋友,1971-10-01,1971-10
为我男子篮球队和女子排球队访朝    李云川大使举行宴会,1971-10-01,1971-10
朝鲜南北双方红十字会代表团    举行第二次预备性会谈,1971-10-01,1971-10
我驻伊朗大使馆临时代办王景融离京赴任,1971-10-01,1971-10
北京城区天气预报,1971-10-01,1971-10
欢呼毛主席无产阶级革命路线的伟大胜利    欢呼我国社会主义革命和建设的伟大胜利    首都军民欢庆中华人民共和国成立二十二周年,1971-10-02,1971-10
西哈努克亲王和夫人、宾努首相和夫人、英·萨利特使    同首都人民一起庆祝我国人民的光辉节日    周恩来总理在颐和园举行庆祝宴会招待柬埔寨贵宾,1971-10-02,1971-10
热烈庆祝中华人民共和国成立二十二周年    国务院文化组、对外友协盛会招待各国朋友,1971-10-02,1971-10
口号,1971-10-02,1971-10
周恩来总理致电艾哈迈德·塞古·杜尔总统    热烈祝贺几内亚共和国成立十三周年,1971-10-02,1971-10
国务院办公室招待参加国庆的港澳同胞和海外爱国侨胞代表,1971-10-02,1971-10
耿飚同志宴请美国“革命联盟”代表团    并宴请美国和波多黎各“青年主人党”负责人古兹曼,1971-10-02,1971-10
沿着毛主席革命路线胜利前进    ——首都军民热烈庆祝中华人民共和国成立二十二周年,1971-10-02,1971-10
在保卫祖国的岗位上,1971-10-02,1971-10
延安在团结胜利的大道上前进,1971-10-02,1971-10
京家儿女心向北京城,1971-10-02,1971-10
团结  战斗  胜利,1971-10-02,1971-10
苗寨深山见太阳,1971-10-02,1971-10
我驻阿使馆举行国庆招待会    阿人民伟大领袖霍查同志以及列希、谢胡等同志出席    谢胡同志和刘振华大使讲话，盛赞两国人民革命友谊和战斗团结,1971-10-02,1971-10
美国侵略军必须撤出南朝鲜,1971-10-02,1971-10
我驻越使馆举行国庆招待会    长征、范文同、武元甲等党政领导人出席    范文同同志和王幼平大使致词共祝两国人民战斗友谊不断发展,1971-10-02,1971-10
热烈庆祝中华人民共和国成立二十二周年    平壤举行盛大宴会    金乐奎郑准泽康良煜等同志出席  康良煜同志和李云川大使讲话,1971-10-02,1971-10
阿尔巴尼亚劳动党地拉那区举行第十八次代表会议    霍查同志出席会议并发表重要讲话,1971-10-02,1971-10
庆祝中华人民共和国成立二十二周年,1971-10-02,1971-10
北京城区天气预报,1971-10-02,1971-10
全国各族人民欢庆中华人民共和国成立二十二周年    热烈欢呼毛主席无产阶级革命路线的伟大胜利    决心高举党的“九大”团结胜利的旗帜奋勇前进,1971-10-03,1971-10
以战斗姿态和辛勤劳动欢度国庆    各地工人农民坚持抓革命促生产,1971-10-03,1971-10
