活学活用毛泽东思想先于一切小坝公社贫下中农以毛泽东思想为武器，结合当地斗争实际，开展革命大批判，阶级斗争和两条路线斗争觉悟不断提高，生产不断取得新成就,1969-01-15,1969-01,社会
在山东鱼台县执行生产任务的解放军某部运输连的干部战士把宣传毛泽东思想作为最重要的爱民行动,1969-01-28,1969-01,社会
大长山公社革委会在解放军帮助下紧跟毛主席伟大战略部署用毛泽东思想统帅农村斗批改,1969-02-01,1969-02,社会
旅店办起毛泽东思想学习班,1969-03-25,1969-03,社会
青海高原盛开大寨花,1969-05-12,1969-05,社会
落实毛主席的知识分子政策  发挥小学教师的革命积极性西北庄大队贫下中农热情对小学教师进行再教育取得成效,1969-05-23,1969-05,社会
和贫下中农结合的道路我走定了,1969-07-05,1969-07,社会
河南安徽江苏三省人民同心协力治理沱河开挖新汴河用毛泽东思想创造了团结治水光辉范例,1969-07-25,1969-07,社会
新乡市卫东机械厂革委会从阶级教育入手帮助青年工人提高遵守革命纪律的自觉性,1969-08-13,1969-08,社会
长春电影机械厂革委会用毛泽东思想狠批无政府主义加强纪律教育提高青年工人革命觉悟,1969-09-24,1969-09,社会
德安县插队的干部、教师、医务人员和知识青年虚心向贫下中农学习加速思想革命化贫下中农热情地赞扬下放人员是毛泽东思想的宣传员，对敌斗争的战斗员，为人民服务的勤务员,1969-10-06,1969-10,社会
教育和帮助下乡知识青年做好过冬准备,1969-12-20,1969-12,社会
